ubuntu@ip-10-0-29-234:~$ sudo tcpdump -nn -i any 'udp and portrange 10000-10004'
tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
08:27:31.669100 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.689800 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.708309 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.731295 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.748797 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.768314 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.790805 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.809303 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.831316 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.850313 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.867827 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.891336 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.910318 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.927880 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.954303 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.978835 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:31.992856 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:32.009325 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:32.031307 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
08:27:32.121801 ens5  In  IP 5.163.160.57.46918 > 10.0.29.234.10000: UDP, length 172
